CRM,1kyx,0,uracil,O=C(O)CCc1nc2c(=O)[nH]c(=O)[nH]c2n(CC(O)C(O)C(O)CO)c1=O
ORO,2ps1,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
URA,1udh,0,uracil,O=c1cc[nH]c(=O)[nH]1
F2N,2z3y,0,uracil,Cc1cc2c(cc1C)N(C(=O)CCc1ccccc1)c1c([nH]c(=O)[nH]c1=O)N2CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
XMP,3bpw,0,uracil,O=c1[nH]c(=O)c2[nH+]cn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
ORO,3i6r,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
ORO,2dor,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
GDP,1dpf,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,2gtp,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GSP,2hf9,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(O)(O)=S)C(O)C2O)c(=O)[nH]1
GDP,2ode,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
C2E,3gfx,0,isocytosine,Nc1nc2c(ncn2C2OC3COP(=O)(O)OC4C(COP(=O)(O)OC3C2O)OC(n2cnc3c(=O)[nH]c(N)nc32)C4O)c(=O)[nH]1
GNP,1kmq,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C2O)c(=O)[nH]1
FON,1xzq,0,isocytosine,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O
GDP,1oix,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,2bm0,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
HBI,1dr4,0,isocytosine,CC(O)C(O)C1=Nc2c(nc(N)[nH]c2=O)NC1
MPU,2nm3,0,isocytosine,Nc1nc2ncc(C(O)C(O)CO)nc2c(=O)[nH]1
MGD,2nya,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC1C(S)=C(S)C(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(=O)[nH]c(N)nc54)C(O)C3O)OC1N2
5GP,1hmp,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,1cg1,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
2GP,1bvi,0,isocytosine,Nc1nc2c(ncn2C2OC(CO)C(O)C2OP(=O)(O)O)c(=O)[nH]1
G5P,2f3r,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c(=O)[nH]1
NEU,2nm2,0,isocytosine,Nc1nc2ncc(C(O)C(O)CO)nc2c(=O)[nH]1
5GP,1j1f,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1
MTE,2a9c,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC1C(S)=C(S)C(COP(=O)(O)O)OC1N2
GDP,1skq,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GTP,2w2v,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
7MG,1h2t,0,isocytosine,CN1CN(C2OC(COP(=O)(O)O)C(O)C2O)c2nc(N)[nH]c(=O)c21
GDP,3hke,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
M7G,1jtf,0,isocytosine,CN1CN(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c2nc(N)[nH]c(=O)c21
GDP,1k5g,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GNP,3cnl,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,2phn,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,2a9k,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,3gj4,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
8OG,1rrs,0,isocytosine,Nc1nc2c([nH]c(=O)n2C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1
2MD,1tmo,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC1C(N2)OC(COP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(O)C2O)C(S)C1S
PCG,2gx5,0,isocytosine,Nc1nc2c(ncn2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1
DQB,1zly,0,isocytosine,Nc1nc2ccc(CNc3ccc(C(=O)NCCCC(=O)O)cc3)cc2c(=O)[nH]1
PGD,1e5v,0,isocytosine,NC1=NC(=O)C2=NC3C(S)=C(S)C(COP(=O)(O)OP(=O)(O)OCC4OC(n5cnc6c(=O)[nH]c(N)nc65)C(O)C4O)OC3NC2=N1
MGD,2jiq,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC1C(S)=C(S)C(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(=O)[nH]c(N)nc54)C(O)C3O)OC1N2
GNP,1rrp,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GTP,2v4y,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,1e0s,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
AC2,1pwy,0,isocytosine,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
GNP,1iaq,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,2r6r,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GUN,1it7,0,isocytosine,Nc1nc2[nH]cnc2c(=O)[nH]1
GMP,1waf,0,isocytosine,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1
GDP,3cx7,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GTP,2h57,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
MGD,1g8j,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC1C(S)=C(S)C(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(=O)[nH]c(N)nc54)C(O)C3O)OC1N2
MGD,2v3v,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC1C(S)=C(S)C(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(=O)[nH]c(N)nc54)C(O)C3O)OC1N2
GUN,1d6a,1,isocytosine,Nc1nc2[nH]cnc2c(=O)[nH]1
ONM,1tl7,0,isocytosine,CNc1ccccc1C(=O)OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(n2cnc3c(=O)[nH]c(N)nc32)C1O
2GP,2bir,0,isocytosine,Nc1nc2c(ncn2C2OC(CO)C(O)C2OP(=O)(O)O)c(=O)[nH]1
GDD,2pk3,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1
DDF,1rx4,0,isocytosine,Nc1nc(=O)c2c([nH]1)NCC(CCc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)C2
2GP,1i3i,0,isocytosine,Nc1nc2c(ncn2C2OC(CO)C(O)C2OP(=O)(O)O)c(=O)[nH]1
GDP,2hlb,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
G2P,1w58,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
IMU,1dqn,0,isocytosine,Nc1nc2c(C3NC(COP(=O)(O)O)C(O)C3O)c[nH]c2c(=O)[nH]1
2GP,2hoh,0,isocytosine,Nc1nc2c(ncn2C2OC(CO)C(O)C2OP(=O)(O)O)c(=O)[nH]1
GSP,2gcp,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(O)(O)=S)C(O)C2O)c(=O)[nH]1
GNP,2gco,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C2O)c(=O)[nH]1
MGD,2e7z,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC1C(S)=C(S)C(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(=O)[nH]c(N)nc54)C(O)C3O)OC1N2
GDP,1n7h,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GDP,1fqk,0,isocytosine,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
MD1,1q16,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC(C(S)=C(S)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(=O)[nH]c(N)nc43)C(O)C1O)C=N2
MTE,1fiq,0,isocytosine,Nc1nc2c(c(=O)[nH]1)NC1C(S)=C(S)C(COP(=O)(O)O)OC1N2
